"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Phf21a",5.11906899745445e-56,-0.278577816564303,0.354,0.439,1.53833142442504e-51
"Cltb",8.16051305645825e-56,0.283845696911096,0.29,0.224,2.45231577859627e-51
"Nebl",9.59649819118959e-56,-0.297128600762806,0.403,0.477,2.88384367143438e-51
"Tcf12",1.13309736480865e-55,-0.296582215060379,0.349,0.434,3.40507089098647e-51
"Hs6st3",1.51741319736775e-55,-0.433683441187767,0.436,0.512,4.55997839940983e-51
"Epha3",4.47408219736807e-55,-0.312288557188291,0.18,0.255,1.34450644113108e-50
"Sdk1",2.27844532495451e-54,0.351583434021013,0.302,0.234,6.84695604602079e-50
"Dlgap2",5.35952940132936e-54,-0.274187828529312,0.553,0.611,1.61059218039349e-49
"Clk1",1.93470368879742e-53,-0.288642001734683,0.346,0.431,5.81397805520512e-49
"Pnisr",2.42397998674299e-53,-0.255815575049975,0.51,0.58,7.28430225816135e-49
"Gm28376",3.35225993390543e-53,-0.480765516319189,0.305,0.375,1.00738763273792e-48
"Nrg2",2.78763525354571e-52,-0.297678950224925,0.217,0.288,8.37712270043022e-48
"Unc5d",4.19194364186043e-52,-0.458515670872777,0.364,0.431,1.25972098381548e-47
"P2ry14",4.50307400828176e-52,-0.284187945184095,0.2,0.275,1.35321877022875e-47
"Synj1",5.5324107512498e-52,0.253181375502949,0.52,0.457,1.66254475485808e-47
"Ryr3",1.90715447791044e-51,-0.29668571263645,0.324,0.403,5.73118992156866e-47
"Prkce",1.38956828542404e-50,-0.319795048978206,0.678,0.688,4.17579165452778e-46
"2010300C02Rik",1.53294800643187e-50,-0.306650759122308,0.339,0.412,4.60666205412843e-46
"Tmeff2",3.2801963853844e-50,-0.340104295483888,0.549,0.608,9.85731815771866e-46
"Cntnap5a",3.82169553350354e-50,-0.556261634879989,0.408,0.464,1.14845772477315e-45
"Sorcs1",2.52354153605119e-49,0.281565973948388,0.454,0.375,7.58349466998743e-45
"Brd9",6.91709250210931e-49,-0.304565937122793,0.299,0.375,2.07865546780887e-44
"Usp29",1.44856500787787e-48,-0.289141528993346,0.216,0.289,4.35308270517378e-44
"Fgf13",3.38764625707955e-48,-0.260273371018548,0.187,0.26,1.01802157671497e-43
"Neto1",6.80247408278957e-48,-0.286733762221399,0.33,0.404,2.04421148661909e-43
"Gm36975",7.98242064385222e-48,-0.372921139772062,0.305,0.375,2.39879722768403e-43
"Kcnd3",9.25266250832115e-48,-0.312010921538447,0.308,0.377,2.78051761037559e-43
"Hdac9",1.00578013384806e-47,-0.267821041072706,0.339,0.418,3.02246988022681e-43
"Cdh9",1.5871438916664e-47,-0.448858556164023,0.253,0.319,4.76952610884669e-43
"Prkca",2.12154579112277e-47,-0.283610325212122,0.392,0.465,6.37545725690304e-43
"Stag1",6.08787676252297e-46,-0.253566203002142,0.456,0.529,1.82946784590578e-41
"Mast3",8.18416574533533e-46,-0.293603494943212,0.235,0.306,2.45942364813072e-41
"Spock3",9.599391976432e-46,-0.32612946117976,0.323,0.39,2.88471328283758e-41
"Diaph2",1.20989631273834e-45,-0.253828027585253,0.393,0.467,3.63585940940999e-41
"1700111E14Rik",2.2283877947213e-44,-0.289894396367929,0.204,0.272,6.69652816191697e-40
"Cdh2",2.43556193332751e-44,-0.259137125196619,0.445,0.513,7.31910716584249e-40
"Kansl1l",3.01296433075488e-44,-0.28136475253867,0.288,0.36,9.0542591103515e-40
"Khdrbs2",3.9951373270633e-44,-0.28464322673033,0.368,0.442,1.20057871815579e-39
"St6galnac3",5.04242433080549e-44,-0.263045837779647,0.323,0.399,1.51529893565036e-39
"Robo2",1.20589858479711e-43,-0.261963775632162,0.506,0.568,3.6238458371738e-39
"Gpc5",1.54786658620092e-43,0.338532845524572,0.315,0.247,4.65149387819238e-39
"5330438D12Rik",3.15929510098311e-43,-0.31007136453293,0.379,0.44,9.49399770796434e-39
"Fam189a1",6.59724415086357e-43,-0.281171387479691,0.335,0.403,1.98253783977601e-38
"Gm48678",6.6073678775761e-43,-0.295237215813251,0.251,0.32,1.98558012089039e-38
"Rundc3a",3.51985700374487e-42,0.253710519713965,0.256,0.2,1.05775222819537e-37
"Il1rap",6.14620520413243e-42,-0.319945844327033,0.283,0.35,1.84699612589384e-37
"Ntrk3",8.82750192742449e-42,-0.258652031768506,0.558,0.601,2.65275260421033e-37
"Ptk2b",1.56129609587515e-41,-0.295857178932748,0.4,0.461,4.69185089771442e-37
"Ptprk",1.92205383004879e-40,-0.274229766120979,0.318,0.389,5.77596396467963e-36
"Frmpd4",3.38264951297967e-40,-0.251066002125154,0.566,0.619,1.01652000514552e-35
"Tiam1",3.84276504862882e-39,-0.300338688443484,0.3,0.362,1.15478932476345e-34
"Phlpp1",4.77039688973312e-39,-0.263983011343123,0.313,0.384,1.4335519693337e-34
"Lrrc4",7.2931321980605e-38,-0.254320839651224,0.317,0.382,2.19165915683916e-33
"Syt7",1.11625658669352e-37,-0.275874213964563,0.385,0.447,3.35446266867271e-33
"Shisa9",6.25442154562878e-37,-0.298371147314566,0.31,0.371,1.87951621867691e-32
"Epha7",1.08480786965685e-36,-0.364182760339663,0.449,0.495,3.25995612910579e-32
"Btbd9",1.47158005427173e-36,-0.275592491746092,0.452,0.512,4.42224522109198e-32
"9630028H03Rik",3.66668263678842e-36,-0.26972814670396,0.238,0.301,1.10187479918129e-31
"Cntnap5b",3.67292155035036e-36,-0.323994400438875,0.244,0.306,1.10374965509579e-31
"Prkcg",5.90138572959692e-36,-0.278136782967561,0.249,0.308,1.77342542560117e-31
"Tenm1",2.06016604276419e-32,-0.292056061728886,0.38,0.44,6.19100497511067e-28
"4930419G24Rik",2.84380666681055e-32,-0.378134947576687,0.204,0.258,8.54592341443238e-28
"Zfpm2",4.18572537374043e-29,-0.267108491455116,0.375,0.421,1.25785233206274e-24
"Chl1",4.85367465883207e-29,-0.253285123283527,0.407,0.462,1.45857777172563e-24
"Dgkb",7.04393087406309e-29,-0.253191192625109,0.549,0.578,2.1167716669647e-24
"Slc4a4",1.66773053180263e-28,-0.302287168547138,0.272,0.322,5.01169702112008e-24
"Ptprg",5.76319828647235e-28,-0.267737715515953,0.406,0.458,1.73189871706781e-23
"Cpne4",1.24876548048149e-27,-0.251641638741706,0.217,0.266,3.75266514539492e-23
"Fgfr2",1.40055821008937e-27,-0.26932501170627,0.503,0.54,4.20881747713956e-23
"Sptbn2",2.87315370603181e-26,0.262093293187118,0.316,0.278,8.63411420199619e-22
"Nrg3os",9.14186609814199e-26,-0.25493738166207,0.411,0.454,2.74722218115265e-21
"Grm1",9.44330504400848e-25,-0.298857258488833,0.432,0.47,2.83780759877499e-20
"Grik4",1.1700321740496e-24,-0.276888696926317,0.281,0.329,3.51606368623644e-20
"Kcnn2",4.72004791897895e-24,-0.284824598152451,0.353,0.399,1.41842160013237e-19
"Maml3",1.33578998347039e-23,-0.297050883158188,0.277,0.323,4.01418247932686e-19
"A330015K06Rik",1.66449035388286e-23,-0.274325794077755,0.24,0.287,5.00195996245339e-19
"Slc35f3",4.16981386857698e-23,-0.276504599384282,0.375,0.413,1.25307076564607e-18
"Caly",3.231284086665e-16,-0.30732153506719,0.325,0.36,9.71033180883698e-12
"C1qtnf4",3.41735603788027e-16,-0.328916636840972,0.342,0.376,1.0269496629434e-11
"Ctnna3",2.83354619839376e-15,-0.346941016042345,0.401,0.423,8.51508968079307e-11
"Cntnap2",4.81664538466967e-13,-0.268479157761094,0.661,0.663,1.44745010454708e-08
"Slc7a14",4.98752396881628e-13,-0.25877303778179,0.401,0.43,1.49880082786898e-08
"Synpr",2.28545874284173e-07,-0.390625587069996,0.327,0.332,0.0068680320681137
"Brinp3",9.6165414498224e-06,-0.260524033321567,0.348,0.364,0.288986687108613
"Tenm3",0.00249658859275931,-0.264084735566065,0.416,0.422,1
"Ptgds",0.702597697438866,-0.610091032793036,0.269,0.253,1
